Product ID,Product Name,Brand,Category,Sub-Category,MRP
P0101,Voltix Pro 5G Smartphone,Voltix,Electronics,Smartphones,"₹19,980"
P0102,NovaTech Essential Wireless Headphones,NovaTech,Electronics,Headphones,"₹9,440"
P0103,AeroBeat Vista Smart Watch,AeroBeat,Electronics,Smart Watches,"₹3,310"
P0104,PulseWave Elite Power Bank,PulseWave,Electronics,Power Banks,"₹2,890"
P0105,Zentronix Swift Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹2,020"
P0106,Voltix Max 5G Smartphone,Voltix,electronics,Smartphones,"₹16,820"
P0107,NovaTech Aura Wireless Headphones,NovaTech,electronics,Headphones,"₹7,510"
P0108,AeroBeat Craft Smart Watch,AeroBeat,Electronics,Smart Watches,"₹6,330"
P0109,PulseWave Prime Power Bank,PulseWave,electronics,Power Banks,"₹1,930"
P0110,Zentronix Royal Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹6,900"
P0111,Voltix Ultra 5G Smartphone,Voltix,Electronics,Smartphones,"₹19,290"
P0112,NovaTech Flex Wireless Headphones,NovaTech,Electronics,Headphones,"₹11,030"
P0113,AeroBeat Pure Smart Watch,AeroBeat,Electronics,Smart Watches,"₹9,700"
P0114,PulseWave Neo Power Bank,PulseWave,Electronics,Power Banks,"₹1,810"
P0115,Zentronix Urban Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹2,280"
P0116,Voltix Classic 5G Smartphone,Voltix,Electronics,Smartphones,"₹22,300"
P0117,NovaTech Nova Wireless Headphones,NovaTech,Electronics,Headphones,"₹3,840"
P0118,AeroBeat Bold Smart Watch,AeroBeat,electronics,Smart Watches,"₹6,500"
P0119,PulseWave Active Power Bank,PulseWave,Electronics,Power Banks,"₹1,270"
P0120,Zentronix Alpha Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹2,810"
P0121,Voltix Elite 5G Smartphone,Voltix,Electronics,Smartphones,"₹17,290"
P0122,NovaTech Swift Wireless Headphones,NovaTech,Electronics,Headphones,"₹7,210"
P0123,AeroBeat Pro Smart Watch,AeroBeat,Electronics,Smart Watches,"₹11,910"
P0124,PulseWave Essential Power Bank,PulseWave,Electronics,Power Banks,"₹1,690"
P0125,Zentronix Vista Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹5,120"
P0126,Voltix Prime 5G Smartphone,Voltix,electronics,Smartphones,"₹11,220"
P0127,NovaTech Royal Wireless Headphones,NovaTech,Electronics,Headphones,"₹8,700"
P0128,AeroBeat Max Smart Watch,AeroBeat,Electronics,Smart Watches,"₹10,330"
P0129,PulseWave Aura Power Bank,PulseWave,Electronics,Power Banks,"₹2,090"
P0130,Zentronix Craft Bluetooth Speaker,Zentronix,Electronics,Bluetooth Speakers,"₹1,960"
P0131,UrbanWeave Flex Casual Shirt,UrbanWeave,Fashion,Men's Clothing,"₹2,420"
P0132,StrideOn Pure Kurti Set,StrideOn,Fashion,Women's Clothing,"₹2,740"
P0133,VogueNest Neo Running Shoes,VogueNest,Fashion,Footwear,"₹3,640"
P0134,DapperLane Urban Analog Watch,DapperLane,Fashion,Watches & Accessories,"₹3,650"
P0135,UrbanWeave Ultra Casual Shirt,UrbanWeave,Fashion,Men's Clothing,₹750
P0136,StrideOn Flex Kurti Set,StrideOn,Fashion,Women's Clothing,"₹1,370"
P0137,VogueNest Pure Running Shoes,VogueNest,Fashion,Footwear,"₹4,300"
P0138,DapperLane Neo Analog Watch,DapperLane,Fashion,Watches & Accessories,₹840
P0139,UrbanWeave Urban Casual Shirt,UrbanWeave,Fashion,Men's Clothing,"₹1,470"
P0140,StrideOn Ultra Kurti Set,StrideOn,Fashion,Women's Clothing,"₹2,610"
P0140,StrideOn Ultra Kurti Set,StrideOn,Fashion,Women's Clothing,"₹2,610"
P0141,VogueNest Flex Running Shoes,VogueNest,Fashion,Footwear,"₹3,630"
P0142,DapperLane Pure Analog Watch,DapperLane,Fashion,Watches & Accessories,"₹4,930"
P0143,UrbanWeave Neo Casual Shirt,UrbanWeave,fashion,Men's Clothing,₹570
P0144,StrideOn Urban Kurti Set,StrideOn,Fashion,Women's Clothing,"₹3,050"
P0145,VogueNest Ultra Running Shoes,VogueNest,Fashion,Footwear,"₹1,540"
P0146,DapperLane Flex Analog Watch,DapperLane,Fashion,Watches & Accessories,"₹1,480"
P0147,UrbanWeave Pure Casual Shirt,UrbanWeave,Fashion,Men's Clothing,"₹1,740"
P0148,StrideOn Neo Kurti Set,StrideOn,fashion,Women's Clothing,"₹1,720"
P0149,VogueNest Urban Running Shoes,VogueNest,Fashion,Footwear,"₹2,180"
P0150,DapperLane Ultra Analog Watch,DapperLane,Fashion,Watches & Accessories,"₹1,290"
P0151,UrbanWeave Nova Casual Shirt,UrbanWeave,Fashion,Men's Clothing,"₹3,240"
P0152,StrideOn Bold Kurti Set,StrideOn,Fashion,Women's Clothing,"₹1,720"
P0153,VogueNest Active Running Shoes,VogueNest,Fashion,Footwear,"₹4,470"
P0154,DapperLane Alpha Analog Watch,DapperLane,Fashion,Watches & Accessories,"₹3,020"
P0155,UrbanWeave Classic Casual Shirt,UrbanWeave,Fashion,Men's Clothing,₹990
P0156,ChefCraft Alpha Cookware Set,ChefCraft,Home & Kitchen,Cookware,"₹2,600"
P0157,HomeNest Classic Mixer Grinder,HomeNest,Home & Kitchen,Kitchen Appliances,"₹4,840"
P0158,ZenHome Nova Wall Art,ZenHome,home & kitchen,Home Decor,"₹1,120"
P0159,CasaLiving Bold Bedsheet Set,CasaLiving,Home & Kitchen,Bedding,"₹3,930"
P0160,ChefCraft Active Cookware Set,ChefCraft,home & kitchen,Cookware,"₹2,780"
P0160,ChefCraft Active Cookware Set,ChefCraft,home & kitchen,Cookware,"₹2,780"
